;id;Indeks;Prisustvo;UKUPNO;Ocjena;Ispit1_final;Ispit2_final
0;1;94-ST;10;35.81;7;12.08;13.73
1;2;77-ST;10;35.5;7;8.5;
2;3;69-ST;10;39.5;9;17.0;
4;5;89-ST;10;35.08;6;12.58;12.5
5;6;78-ST;0;25.91;6;13.08;12.83
6;7;93-ST;10;35.17;8;12.67;12.5
7;8;68-ST;10;50.0;9;;
9;10;92-ST;10;42.06;9;;
10;11;65-ST;10;43.19;8;;
11;12;70-ST;10;39.3;7;13.0;16.3
12;13;90-ST;10;39.9;8;15.6;14.3
13;14;97-ST;10;41.05;9;;
14;15;84-ST;10;43.56;9;;
16;17;91-ST;10;43.48;9;;
17;18;87-ST;10;35.89;7;;
19;20;96-ST;10;41.4;8;;
20;21;66-ST;10;40.0;8;14.0;16.0
21;22;62-ST;10;42.0;8;12.5;
23;24;86-ST;10;36.1;6;13.6;12.5
24;25;73-ST;10;41.57;7;12.5;19.07
25;26;80-ST;10;39.45;8;;
26;27;63-ST;10;46.6;8;16.6;20.0
29;30;85-ST;10;35.25;7;;12.5
35;36;64-ST;10;38.3;8;13.3;15.0
37;38;71-ST;10;42.16;8;;
39;40;60-ST;10;38.5;6;10.0;
40;41;48-ST;10;10.0;6;;
43;44;88-ST;10;37.0;7;;
44;45;75-ST;10;33.33;6;9.83;13.5
45;46;67-ST;10;39.5;7;16.5;
46;47;81-ST;10;43.0;8;15.7;17.3
